,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date,Games,GS
32,Nick Young,GSW,22:02,6.0,9.0,0.667,3.0,4.0,0.75,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,15.0,10.0,12/27/17,1,11.699999999999998
33,Jordan Bell,GSW,21:53,2.0,6.0,0.333,0.0,0.0,0.0,1.0,3.0,0.333,2.0,11.0,13.0,7.0,1.0,0.0,1.0,4.0,5.0,17.0,12/27/17,1,8.799999999999999
34,Patrick McCaw,GSW,20:25,7.0,10.0,0.7,1.0,3.0,0.333,3.0,4.0,0.75,1.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,18.0,17.0,12/27/17,1,15.0
35,Andre Iguodala,GSW,19:45,1.0,7.0,0.143,0.0,2.0,0.0,1.0,2.0,0.5,1.0,5.0,6.0,7.0,1.0,0.0,0.0,1.0,3.0,22.0,12/27/17,1,5.8
36,Omri Casspi,GSW,15:01,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,2.0,1.0,10.0,7.0,12/27/17,1,9.7
37,David West,GSW,12:23,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,1.0,3.0,6.0,3.0,12/27/17,1,5.8
38,Kevon Looney,GSW,6:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-3.0,12/27/17,1,-1.8
39,JaVale McGee,GSW,4:29,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,6.0,-2.0,12/27/17,1,5.699999999999999
41,Harrison Barnes,SAC,38:47,5.0,8.0,0.625,4.0,6.0,0.667,9.0,10.0,0.9,1.0,7.0,8.0,3.0,1.0,0.0,3.0,4.0,23.0,13.0,11/3/21,1,20.299999999999997
42,De'Aaron Fox,SAC,37:49,8.0,14.0,0.571,2.0,3.0,0.667,1.0,2.0,0.5,0.0,2.0,2.0,5.0,1.0,0.0,1.0,2.0,19.0,10.0,11/3/21,1,15.3
43,Tyrese Haliburton,SAC,36:36,6.0,11.0,0.545,1.0,3.0,0.333,7.0,8.0,0.875,0.0,4.0,4.0,7.0,4.0,2.0,0.0,1.0,20.0,7.0,11/3/21,1,25.4
44,Maurice Harkless,SAC,32:25,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,-1.0,11/3/21,1,2.7
45,Richaun Holmes,SAC,16:23,6.0,9.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,0.0,0.0,1.0,4.0,12.0,-9.0,11/3/21,1,8.4
46,Davion Mitchell,SAC,26:04,6.0,12.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,2.0,12.0,12.0,11/3/21,1,11.4
47,Buddy Hield,SAC,22:57,4.0,13.0,0.308,2.0,10.0,0.2,1.0,2.0,0.5,2.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,11.0,12.0,11/3/21,1,6.4
48,Alex Len,SAC,20:39,6.0,9.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,3.0,2.0,5.0,12.0,16.0,11/3/21,1,9.100000000000001
49,Tristan Thompson,SAC,8:19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,11/3/21,1,0.29999999999999993
56,Donovan Mitchell,UTA,38:44,10.0,21.0,0.476,1.0,8.0,0.125,11.0,12.0,0.917,0.0,2.0,2.0,6.0,0.0,1.0,2.0,4.0,32.0,4.0,4/21/22,1,22.8
